Time,Humidity,Temperature,BMP_temperature,Pressure
00:00:00,46.750,29.300,28.000,100576.750
00:10:00,46.632,29.105,27.989,100568.474
00:20:00,45.526,29.000,27.911,100567.737
00:30:00,46.150,29.000,27.920,100562.350
00:40:00,47.789,29.000,28.000,100558.368
00:50:00,46.900,29.000,27.900,100547.550
01:00:00,46.526,29.000,27.900,100541.211
01:10:00,46.800,29.000,27.885,100522.800
01:20:00,46.421,29.000,27.800,100520.105
01:30:00,46.684,29.000,27.800,100519.105
01:40:00,46.700,29.000,27.745,100506.000
01:50:00,46.474,29.000,27.700,100494.579
02:00:00,46.579,29.000,27.700,100492.158
02:10:00,46.000,29.000,27.670,100496.500
02:20:00,46.526,29.000,27.600,100497.789
02:30:00,46.263,29.000,27.600,100494.526
02:40:00,46.650,29.000,27.590,100489.200
02:50:00,46.421,29.000,27.505,100493.053
03:00:00,46.450,28.900,27.495,100498.300
03:10:00,47.526,28.579,27.405,100503.579
03:20:00,47.100,28.600,27.400,100510.550
03:30:00,48.526,28.368,27.363,100516.947
03:40:00,49.050,28.200,27.300,100529.600
03:50:00,49.316,28.000,27.300,100539.158
04:00:00,50.526,28.053,27.295,100538.316
04:10:00,51.250,28.000,27.200,100533.650
04:20:00,51.842,28.000,27.163,100529.632
04:30:00,52.500,28.000,27.100,100527.850
04:40:00,51.842,28.000,27.074,100532.053
04:50:00,52.300,28.000,27.000,100529.400
05:00:00,51.947,28.000,27.000,100534.158
05:10:00,51.400,28.000,26.995,100544.400
05:20:00,51.737,28.000,26.921,100547.263
05:30:00,52.250,28.000,26.900,100556.600
05:40:00,52.579,28.000,26.821,100567.474
05:50:00,52.650,28.000,26.800,100582.200
06:00:00,52.105,28.000,26.800,100596.737
06:10:00,51.684,28.000,26.758,100611.105
06:20:00,52.050,28.000,26.705,100627.400
06:30:00,51.421,28.000,26.700,100642.842
06:40:00,51.300,28.000,26.690,100652.650
06:50:00,51.421,28.000,26.611,100662.684
07:00:00,51.368,28.000,26.626,100670.842
07:10:00,52.450,28.000,26.590,100684.900
07:20:00,51.737,28.000,26.563,100693.105
07:30:00,52.700,28.000,26.520,100706.250
07:40:00,52.632,28.000,26.500,100724.842
07:50:00,52.150,28.000,26.500,100729.900
08:00:00,51.789,28.000,26.500,100744.368
08:10:00,51.789,28.000,26.500,100752.421
08:20:00,52.211,28.000,26.500,100764.211
08:30:00,51.750,28.000,26.495,100772.500
08:40:00,53.053,28.000,26.426,100772.368
08:50:00,53.650,28.000,26.355,100773.700
09:00:00,53.737,28.000,26.453,100773.737
09:10:00,52.850,28.000,26.440,100770.000
09:20:00,53.737,28.000,26.489,100773.053
09:30:00,54.350,28.000,26.490,100771.750
09:40:00,57.474,28.000,26.747,100765.368
09:50:00,56.579,28.000,26.932,100754.947
10:00:00,57.700,28.000,27.105,100749.050
10:10:00,57.263,28.000,27.289,100738.895
10:20:00,58.250,28.250,27.500,100729.250
10:30:00,57.842,29.000,27.600,100720.789
10:40:00,58.000,29.000,27.700,100710.750
10:50:00,58.368,29.000,27.632,100700.474
11:00:00,58.789,29.000,27.521,100694.947
11:10:00,58.850,29.000,27.575,100673.400
11:20:00,58.947,29.000,27.658,100650.947
11:30:00,58.800,28.700,27.585,100628.850
11:40:00,58.947,28.632,27.568,100617.895
11:50:00,58.263,28.632,27.574,100606.789
12:00:00,58.450,28.250,27.520,100589.550
12:10:00,58.211,28.526,27.621,100573.211
12:20:00,57.750,28.950,27.675,100561.300
12:30:00,57.211,29.000,27.605,100551.211
12:40:00,56.000,29.000,27.600,100538.684
12:50:00,55.842,29.000,27.595,100529.947
13:00:00,56.800,29.000,27.595,100513.100
13:10:00,57.053,29.000,27.605,100495.632
13:20:00,56.250,29.000,27.600,100481.100
13:30:00,57.632,28.421,27.500,100467.895
13:40:00,59.158,28.000,27.516,100467.105
13:50:00,60.300,28.000,27.495,100464.850
14:00:00,60.250,28.300,27.460,100455.950
14:10:00,58.684,29.000,27.505,100446.895
14:20:00,59.579,28.632,27.458,100437.789
14:30:00,62.800,28.050,27.500,100427.750
14:40:00,63.526,28.000,27.668,100421.474
14:50:00,63.053,28.105,27.795,100415.789
15:00:00,62.789,28.368,27.863,100411.368
15:10:00,61.947,28.947,27.900,100407.842
15:20:00,62.850,28.950,27.900,100407.400
15:30:00,62.579,28.895,27.974,100408.526
15:40:00,62.300,29.000,28.000,100413.500
15:50:00,61.421,29.000,27.868,100413.105
16:00:00,61.368,29.000,27.768,100412.842
16:10:00,61.684,29.000,27.879,100412.842
16:20:00,61.700,29.000,27.925,100411.650
16:30:00,61.684,29.000,27.937,100417.895
16:40:00,61.100,29.000,27.990,100422.200
16:50:00,61.263,29.000,27.979,100426.263
17:00:00,60.947,29.000,27.984,100437.263
17:10:00,61.150,29.000,27.970,100452.000
17:20:00,61.737,29.000,27.937,100458.263
17:30:00,62.250,29.000,27.905,100462.450
17:40:00,62.789,29.000,27.900,100468.053
17:50:00,62.053,29.000,27.868,100471.842
18:00:00,60.800,29.000,27.820,100478.750
18:10:00,60.579,29.000,27.732,100492.895
18:20:00,60.050,29.000,27.700,100504.600
18:30:00,59.526,29.000,27.621,100523.053
18:40:00,59.684,29.000,27.600,100530.316
18:50:00,59.600,29.000,27.560,100544.300
19:00:00,60.000,29.000,27.500,100551.474
19:10:00,59.600,29.000,27.500,100554.250
19:20:00,59.579,29.000,27.463,100556.579
19:30:00,59.550,29.000,27.405,100575.400
19:40:00,59.316,29.000,27.400,100584.737
19:50:00,59.632,28.895,27.342,100600.421
20:00:00,60.250,28.500,27.300,100606.650
20:10:00,60.368,28.421,27.300,100613.474
20:20:00,60.050,28.300,27.300,100626.250
20:30:00,60.211,28.263,27.284,100639.211
20:40:00,60.250,28.200,27.245,100655.050
20:50:00,60.526,28.053,27.200,100660.053
21:00:00,60.316,28.000,27.200,100660.632
21:10:00,60.211,28.000,27.200,100665.053
21:20:00,60.450,28.000,27.125,100668.700
21:30:00,60.526,28.000,27.100,100678.632
21:40:00,60.150,28.000,27.100,100677.300
21:50:00,60.421,28.000,27.037,100681.684
22:00:00,60.450,28.000,27.010,100688.700
22:10:00,60.316,28.000,27.000,100692.316
22:20:00,60.158,28.000,27.000,100688.632
22:30:00,60.200,28.000,26.955,100691.600
22:40:00,60.474,28.000,26.905,100696.789
22:50:00,60.550,28.000,26.900,100693.450
23:00:00,60.737,28.000,26.847,100680.947
23:10:00,60.950,28.000,26.845,100682.450
23:20:00,60.684,28.000,26.805,100681.842
23:30:00,60.750,28.000,26.800,100670.150
23:40:00,60.632,28.000,26.795,100671.368
23:50:00,60.684,28.000,26.737,100665.842
